식품명,에너지(kcal),탄수화물(g),단백질(g),지방(g),나트륨(mg)
연어류_홍연어_육_생것_대표_평균,141,0.10,22.50,4.50,57
연어류_홍연어_육_통조림_수입_평균,147,0.00,23.10,6.00,280
연어류_홍연어_육_훈제_대표_평균,159,0.10,25.70,5.50,1500
열쌍동가리_육_생것_부산_7월,86,0.10,18.30,0.90,
오분자기_육_생것_제주_12월,95,4.60,13.30,2.10,
오징어류_갈고리흰오징어_다리_생것_대표_평균,65,0.61,12.04,1.21,217
오징어류_갈고리흰오징어_몸통_생것_대표_평균,60,0.45,11.58,1.02,257
오징어류_갈고리흰오징어_육_생것_대표_8월,65,0.34,13.50,0.75,
오징어류_갈고리흰오징어_육_생것_동해_5월,72,1.00,15.00,0.60,
오징어류_매오징어_육_생것_포항_5월,80,1.80,14.00,1.40,
오징어류_살오징어_내장_생것_부산_9월,164,1.62,17.69,8.79,
장어류_뱀장어_육_조미하여 구운것_대표_평균,276,0.00,30.40,14.20,
장어류_붕장어_육_구운것_대표_7월,250,2.12,25.15,14.35,90
장어류_붕장어_육_구운것_통영_7월,171,0.00,28.81,5.21,
장어류_붕장어_육_생것_대표_7월,192,0.00,17.17,12.67,96
장어류_붕장어_육_생것_대표_8월,110,0.00,19.23,3.07,
장어류_붕장어_육_생것_부산_5월,135,0.27,17.40,6.40,
장어류_붕장어_육_생것_통영_10월,169,2.62,16.63,9.38,
장어류_붕장어_육_생것_통영_11월,167,0.68,16.07,10.21,
장어류_붕장어_육_생것_통영_12월,177,0.52,16.25,11.34,
장어류_붕장어_육_생것_통영_1월,153,1.09,16.13,8.56,
장어류_붕장어_육_생것_통영_2월,142,0.04,15.89,8.00,
장어류_붕장어_육_생것_통영_3월,160,0.00,15.92,9.84,
장어류_붕장어_육_생것_통영_4월,139,1.15,15.54,7.33,
장어류_붕장어_육_생것_통영_5월,139,0.12,16.65,7.23,
장어류_붕장어_육_생것_통영_6월,161,0.41,16.28,9.64,
장어류_붕장어_육_생것_통영_7월,182,0.00,15.46,12.40,
장어류_붕장어_육_생것_통영_8월,160,1.41,16.53,8.99,
잉어_육_생것_대전_10월,113,0.30,17.50,4.00,
잉어_육_생것_진안_평균,85,0.34,18.02,0.77,70
잉어_육_찐것_진안_평균,110,0.77,22.56,1.19,44
자멸_육_말린것_수입_6월,285,0.60,46.50,9.20,
장갱이_육_생것_부산_6월,90,0.00,19.10,1.00,
크릴류_크릴_육_생것_대표_평균,76,0.20,12.10,2.60,
크릴류_크릴_육_페이스트_대표_평균,130,2.00,16.50,5.50,
청어_알_말린것_대표_평균,397,0.50,65.20,13.60,1400
청어_알_생것_대표_평균,113,0.50,19.60,2.40,
청어_알_소금에 절여 저장한것_대표_평균,89,0.60,15.00,3.00,480
"청어_암컷,육_생것_포항_10월",172,0.18,20.01,9.24,
"청어_암컷,육_생것_포항_11월",174,0.00,21.01,9.11,
"청어_암컷,육_생것_포항_12월",162,0.00,19.85,8.28,
"청어_암컷,육_생것_포항_1월",215,0.00,16.59,15.40,
"청어_암컷,육_생것_포항_2월",98,0.00,18.90,1.99,
"청어_암컷,육_생것_포항_3월",182,0.00,18.32,11.14,
"청어_암컷,육_생것_포항_4월",135,0.00,18.93,5.85,
"청어_암컷,육_생것_포항_5월",165,0.00,18.22,9.34,
"청어_암컷,육_생것_포항_6월",202,4.93,18.45,11.13,
"청어_암컷,육_생것_포항_7월",234,0.39,18.54,16.43,
"청어_암컷,육_생것_포항_8월",198,0.44,18.21,12.65,
"청어_암컷,육_생것_포항_9월",176,0.64,19.45,9.67,
청어_육_구운것_대표_3월,248,25.91,26.54,3.14,
청어_육_구운것_대표_4월,331,26.72,33.44,8.47,
청어_육_말린것_대표_3월,375,2.38,82.26,1.94,
청어_육_말린것_대표_4월,400,0.64,83.44,4.81,
청어_육_말린것_대표_평균,464,1.00,44.50,24.00,1300
해면류_붉은해면_육_생것_포항_3월,29,2.55,3.29,0.46,
해면류_예쁜이해면_전체_생것_통영_3월,42,0.00,8.94,0.49,
해면류_해면_전체_생것_통영_3월,14,0.45,2.42,0.21,
해면류_호박해면_육_생것_포항_3월,35,1.59,5.22,0.66,
해삼_내장_젓갈_대표_평균,45,0.80,7.70,1.00,
해삼_육_말린것_대표_평균,348,3.00,77.60,0.90,
해삼_육_생것_대표_평균,25,0.80,4.40,0.30,
큰구슬우렁이(골뱅이)_육_생것_부산_5월,76,0.30,17.40,0.10,
큰논우렁이_육_생것_창원_평균,71,4.90,9.80,1.00,
클로렐라_육_말린것_대표_평균,97,25.70,45.30,7.20,
키조개_관자(패주)_생것_부산_5월,70,1.94,12.36,1.10,
키조개_내장_생것_부산_6월,79,2.18,12.03,2.06,
키조개_육_구운것_여수_평균,170,4.13,24.77,5.12,
키조개_육_생것_구산면_3월,87,13.37,4.88,1.26,
키조개_육_생것_부산_5월,91,2.70,18.60,0.20,
키조개_육_생것_부산_6월,109,7.03,16.36,1.21,264
키조개_전체_생것_여수_평균,57,0.80,10.30,1.10,
톳_전체_말린것_대표_평균,102,42.52,7.27,0.48,3040
톳_전체_말린것_여수_평균,116,42.19,12.75,0.48,
톳_전체_말린것_완도_평균,116,40.28,13.88,0.85,
톳_전체_생것_남해_평균,20,6.61,1.55,0.57,
톳_전체_생것_대표_9월,124,22.96,5.13,0.87,
홍합류_참담치(홍합)_육_생것_수입_평균,74,3.92,10.70,1.81,470
홍합류_참담치(홍합)_육_통조림_대표_평균,99,1.30,15.80,2.30,
홍해삼_내장_생것_제주_4월,50,1.43,6.24,1.89,
홍해삼_육_생것_제주_4월,25,1.13,4.22,0.27,
홍해삼_육_생것_포항_3월,23,2.11,2.70,0.29,
홑파래류_참홑파래_줄기_말린것_대표_평균,146,53.20,17.20,1.10,
황소개구리_육_생것_대표_평균,75,0.70,16.10,0.40,69
황어_육_생것_부산_11월,95,0.20,18.30,1.80,
횟대류_대구횟대_육_생것_대표_평균,93,0.49,19.51,0.90,
횟대류_도치_육_생것_대표_평균,69,0.90,7.20,3.00,
횟대류_도치_육_소금에 절여 말린것_대표_평균,313,0.20,44.80,9.80,1200
횟대류_빨간횟대_육_생것_부산_4월,74,0.31,17.10,0.10,
흑해삼_육_생것_포항_3월,27,2.23,3.41,0.38,
히메치_육_생것_부산_7월,99,0.00,20.90,1.10,
홍합류_지중해담치_육_생것_부산_5월,54,2.90,8.90,0.50,
홍합류_지중해담치_육_찐것_여수_평균,146,9.74,23.77,0.60,
홍합류_지중해담치_전체_생것_여수_평균,86,6.31,10.69,1.59,215
"홍합류_진주담치_양식,육_생것_대표_평균",86,5.44,11.27,1.71,
"홍합류_진주담치_양식,육_생것_충무_평균",84,4.40,11.90,1.70,
홍합류_진주담치_육_구운것_대표_평균,191,7.39,23.80,4.48,369
가자미류_갈가자미_육_생것_포항_평균,90,0.20,18.30,1.30,
"가자미류_기름가자미(20cm미만)_수컷,육_생것_대표_1월",85,0.13,17.77,1.02,
"가자미류_기름가자미(20cm미만)_수컷,육_생것_대표_2월",83,1.10,17.69,0.39,
"가자미류_기름가자미(21-24cm)_수컷,육_생것_대표_1월",90,0.00,19.42,0.83,
"가자미류_기름가자미(21-24cm)_암컷,육_생것_대표_1월",92,0.61,19.20,0.93,
"가자미류_기름가자미(21-24cm)_암컷,육_생것_대표_2월",82,1.58,17.36,0.24,
"가자미류_기름가자미(25-29cm)_수컷,육_생것_대표_10월",83,0.62,17.63,0.64,
"가자미류_기름가자미(25-29cm)_수컷,육_생것_대표_11월",92,0.00,18.51,1.49,
"가자미류_기름가자미(25-29cm)_수컷,육_생것_대표_12월",95,0.16,17.38,2.19,
"가자미류_기름가자미(25-29cm)_수컷,육_생것_대표_1월",89,0.00,19.00,0.94,
"가자미류_기름가자미(25-29cm)_수컷,육_생것_대표_2월",81,1.86,16.45,0.44,
"가자미류_기름가자미(25-29cm)_수컷,육_생것_대표_3월",102,2.27,18.59,1.47,
"가자미류_기름가자미(25-29cm)_수컷,육_생것_대표_4월",87,0.48,17.99,0.99,
"가자미류_기름가자미(25-29cm)_수컷,육_생것_대표_5월",81,1.68,16.34,0.59,
"가자미류_기름가자미_수컷,육_생것_속초_2월",100,0.00,18.07,2.49,
"가자미류_기름가자미(25cm미만)_수컷,육_생것_대표_3월",97,1.81,19.89,0.63,
"가자미류_기름가자미(25cm미만)_수컷,육_생것_대표_4월",88,1.19,17.61,0.89,
"가자미류_기름가자미(25cm미만)_수컷,육_생것_대표_5월",88,0.60,18.15,0.91,
"가자미류_기름가자미(25cm미만)_수컷,육_생것_대표_6월",81,0.00,16.85,1.02,
"가자미류_기름가자미(25cm미만)_수컷,육_생것_대표_8월",92,0.00,19.74,0.97,
"가자미류_기름가자미(25cm미만)_수컷,육_생것_대표_9월",88,0.00,18.83,0.96,
"가자미류_기름가자미(25cm미만)_암컷,육_생것_대표_10월",82,0.00,17.61,0.77,
"가자미류_기름가자미(25cm미만)_암컷,육_생것_대표_11월",86,1.61,16.81,0.89,
"가자미류_기름가자미(25cm미만)_암컷,육_생것_대표_12월",94,0.00,18.67,1.61,
"가자미류_기름가자미(25cm미만)_암컷,육_생것_대표_3월",100,2.77,19.25,0.77,
"가자미류_기름가자미(25cm미만)_암컷,육_생것_대표_4월",87,0.00,18.85,0.75,
"가자미류_기름가자미(25cm미만)_암컷,육_생것_대표_5월",87,0.38,18.88,0.62,
"가자미류_기름가자미(25cm미만)_암컷,육_생것_대표_6월",84,0.00,19.03,0.39,
"가자미류_기름가자미(25cm미만)_암컷,육_생것_대표_8월",90,0.00,18.81,1.14,
"가자미류_기름가자미(25cm미만)_암컷,육_생것_대표_9월",89,0.20,19.11,0.80,
"가자미류_기름가자미(30cm이상)_수컷,육_생것_대표_11월",81,0.00,17.51,0.77,
"가자미류_기름가자미(30cm이상)_수컷,육_생것_대표_1월",95,0.00,19.37,1.46,
"가자미류_기름가자미(30cm이상)_수컷,육_생것_대표_2월",79,0.52,16.92,0.54,
"가자미류_기름가자미(30cm이상)_수컷,육_생것_대표_3월",93,2.73,17.70,0.78,
"가자미류_기름가자미(25-29cm)_수컷,육_생것_대표_6월",88,0.00,19.26,0.71,
"가자미류_기름가자미(25-29cm)_수컷,육_생것_대표_7월",88,0.00,17.30,1.55,
가자미류_참가자미_육_찐것_대표_평균,171,2.36,30.65,3.38,88
"가자미류_홍가자미_수컷,육_생것_대표_3월",105,0.22,19.36,2.40,
가자미류_홍가자미_알_생것_대표_3월,70,1.54,11.78,1.50,
"가자미류_홍가자미_암컷,육_생것_대표_3월",98,1.24,17.36,2.08,
가자미류_홍가자미_육_생것_여수_4월,108,0.00,19.17,2.89,
가재류_가시발새우_육_생것_대표_평균,83,0.00,18.63,0.45,246
가재류_가시발새우_육_생것_부산_5월,71,0.60,15.20,0.50,
"가자미류_기름가자미_수컷,육_생것_포항_12월",95,0.00,16.98,2.46,
"가자미류_기름가자미_수컷,육_생것_포항_1월",86,0.14,17.73,1.11,
"가자미류_기름가자미_수컷,육_생것_포항_3월",82,0.00,16.44,1.31,
"가자미류_기름가자미_수컷,육_생것_포항_4월",85,0.00,17.24,1.27,
"가자미류_기름가자미_수컷,육_생것_포항_5월",88,0.00,18.16,1.24,
"가자미류_기름가자미_수컷,육_생것_포항_6월",96,0.00,17.07,2.51,
"가자미류_기름가자미_수컷,육_생것_포항_7월",93,0.00,17.67,1.98,
가자미류_기름가자미_알_반정도 말린것_포항_3월,106,2.79,19.94,1.14,154
가자미류_기름가자미_알_생것_포항_평균,104,2.99,19.94,0.82,
"가자미류_기름가자미_암컷,알_생것_대표_1월",109,3.56,19.78,1.21,
"가자미류_기름가자미_암컷,육_생것_경주_10월",127,0.00,16.82,5.98,
"가자미류_기름가자미_암컷,육_생것_경주_7월",115,0.00,15.41,5.26,
"가자미류_기름가자미_암컷,육_생것_포항_11월",133,0.00,18.45,5.84,
"가자미류_기름가자미_암컷,육_생것_포항_12월",85,0.00,18.00,1.01,
"가자미류_기름가자미_암컷,육_생것_포항_1월",129,0.00,17.28,5.91,
"갈치류_갈치(24cm이상)_암컷,육_생것_대표_4월",135,0.00,18.83,5.88,
"갈치류_갈치(24cm이상)_암컷,육_생것_대표_5월",143,0.00,18.31,6.98,
"갈치류_갈치(24cm이상)_암컷,육_생것_대표_6월",114,0.00,19.42,3.38,
"갈치류_갈치(24cm이상)_암컷,육_생것_대표_7월",128,0.36,17.96,5.38,
"갈치류_갈치(24cm이상)_암컷,육_생것_대표_8월",94,0.00,18.77,1.58,
"갈치류_갈치(24cm이상)_암컷,육_생것_대표_9월",101,0.00,19.41,2.01,
갈치류_갈치_내장_젓갈(속젓갈)_진주_6월,195,32.40,8.40,3.60,
"갈치류_갈치_수컷,육_생것_대표_10월",111,0.00,18.83,3.34,
"갈치류_갈치_수컷,육_생것_대표_11월",101,0.00,19.10,2.18,
"갈치류_갈치_수컷,육_생것_대표_12월",115,0.00,19.60,3.38,
"갈치류_갈치_수컷,육_생것_대표_2월",189,0.36,18.19,11.78,
"갈치류_갈치_수컷,육_생것_대표_3월",149,0.13,18.44,7.54,
"갈치류_갈치_수컷,육_생것_대표_4월",125,0.00,19.46,4.54,
가재류_가재_육_생것_부산_10월,126,3.00,15.50,5.10,
가재류_닭새우_육_생것_부산_5월,88,1.30,17.00,1.20,
가재류_바닷가재_내장_생것_수입_평균,268,1.38,14.71,21.33,273
가재류_바닷가재_육_생것_대표_평균,85,0.00,15.97,0.95,58
가재류_바닷가재_육_생것_수입_평균,79,0.71,17.02,0.42,300
가재류_바닷가재_육_찐것_대표_평균,91,0.00,16.77,1.20,94
가재류_펄닭새우_육_생것_부산_5월,61,0.00,13.20,0.60,
각시수랑_육_생것_부산_5월,70,0.92,15.00,0.30,
갈래곰보_갈래곰보_줄기_생것_대표_평균,12,4.60,0.90,0.20,
갈치류_갈치_육_생것_대표_3월,158,0.00,19.19,8.19,
갈치류_갈치_육_생것_대표_4월,107,0.00,20.21,2.28,
갈치류_갈치_육_생것_대표_5월,155,12.11,6.76,8.11,
갈치류_갈치_육_생것_대표_7월,110,0.00,18.94,3.22,
갈치류_갈치_육_생것_대표_8월,156,0.00,18.41,8.31,
갈치류_갈치_육_생것_대표_9월,103,0.23,18.09,2.76,
갈치류_갈치_육_생것_수입_평균,156,0.00,18.71,8.16,63
갈치류_갈치_육_생것_인천_평균,149,0.10,18.50,7.50,
갈치류_갈치_육_약하게 소금에 절인것_대표_평균,188,0.10,26.30,8.10,
갈치류_갈치_육_젓갈_수입_6월,176,28.20,8.60,3.20,
갈치류_독가시치_육_생것_부산_7월,97,0.00,20.30,1.20,
갈치류_동동갈치_육_생것_부산_5월,121,0.00,20.00,3.90,
갈치류_등가시치_육_생것_대표_4월,105,0.55,18.63,2.62,58
갈치류_등가시치_육_생것_대표_평균,88,0.00,18.50,0.10,
갈치류_등가시치_육_생것_부산_5월,79,0.04,18.46,0.10,
갈치류_먹갈치_육_생것_대표_5월,87,0.16,17.23,1.49,99
갈치류_먹갈치_육_생것_대표_8월,99,0.00,20.48,1.38,
갈치류_청자갈치_육_생것_대표_8월,76,0.00,13.19,2.17,
"갈치류_갈치_수컷,육_생것_대표_5월",136,0.00,19.13,5.88,
"갈치류_갈치_수컷,육_생것_대표_6월",140,0.29,18.73,6.32,
"갈치류_갈치_수컷,육_생것_대표_7월",132,0.78,17.88,5.64,
"갈치류_갈치_수컷,육_생것_대표_8월",138,0.00,18.44,6.41,
"게류_붉은대게_암컷,전체_생것_대표_4월",81,0.85,8.92,4.23,
"게류_붉은대게_암컷,전체_생것_대표_5월",95,4.60,8.53,4.30,
"게류_붉은대게_암컷,전체_생것_대표_6월",66,0.00,11.23,2.03,
"게류_붉은대게_암컷,전체_생것_대표_7월",92,0.00,10.52,5.05,
"게류_붉은대게_암컷,전체_생것_대표_9월",68,0.12,10.59,2.43,
게류_꽃게_육_찐것_대표_평균,92,0.00,17.88,0.74,395
게류_닭게_육_생것_대표_평균,69,0.10,15.20,0.50,
게류_대게_내장_생것_수입_평균,106,0.36,7.77,7.60,518
게류_대게_다리_생것_여수_4월,86,1.46,17.46,0.64,
게류_대게_알_생것_여수_4월,139,7.63,17.38,3.67,
게류_대게_육_데쳐서 말린것_대표_평균,314,2.00,66.70,2.60,
게류_대게_육_삶은것_대표_평균,72,0.10,15.00,0.60,240
게류_대게_육_생것_수입_평균,79,0.04,17.02,0.72,225
게류_대게_육_생것_영덕_평균,85,0.50,17.40,1.00,
게류_대게_육_통조림_대표_평균,77,0.20,16.30,0.40,670
게류_동남참게_육_생것_가평(청평)_4월,125,9.80,13.20,3.00,
게류_동남참게_육_생것_광양_평균,156,1.36,16.79,8.49,313
게류_동남참게_육_생것_대표_4월,125,9.87,13.24,2.99,
게류_민꽃게_육_생것_부산_5월,86,1.99,14.80,1.60,
게류_방게_육_생것_대표_평균,73,0.90,11.90,1.30,134
"게류_붉은대게_수컷,다리_생것_대표_10월",64,0.44,13.90,0.39,
"게류_붉은대게_수컷,다리_생것_대표_11월",54,0.00,11.35,0.69,
고둥류_명주매물고둥_내장_생것_포항_평균,200,4.10,18.50,11.18,
고둥류_명주매물고둥_육_구운것_포항_평균,132,7.42,22.65,0.64,
고둥류_명주매물고둥_육_생것_포항_평균,100,6.44,16.02,0.64,
고둥류_명주매물고둥_육_찐것_포항_평균,124,6.65,21.50,0.63,267
고둥류_명주매물고둥_전체_생것_포항_평균,146,3.73,17.78,5.90,250
고둥류_물레고둥_육_생것_포항_6월,88,3.19,17.11,0.30,
고둥류_민허리돼지고둥_육_생것_부산_7월,105,3.20,16.50,2.40,
고둥류_바다방석고둥_전체_생것_통영_3월,100,4.16,15.95,1.64,
고둥류_반석고둥_육_생것_완도_3월,102,3.11,16.39,2.12,324
고둥류_보말고둥_육_삶은것_대표_평균,118,5.30,18.40,0.70,446
고둥류_보말고둥_육_생것_부산_6월,93,2.60,14.60,2.20,
게류_붉은대게_육_생것_대표_8월,66,0.05,10.88,2.14,
게류_붉은대게_육_생것_대표_평균,48,0.30,10.50,0.30,
게류_왕게_육_삶은것_대표_평균,85,0.30,17.50,1.50,310
게류_왕게_육_생것_수입_평균,66,0.96,13.54,0.56,401
게류_왕게_육_생것_포항_평균,67,0.60,13.70,0.70,
게류_주름송편게_육_생것_여수_6월,87,1.12,18.78,0.30,
게류_참게_육_생것_대표_4월,79,4.22,11.13,1.53,
게류_참게_육_생것_부산_6월,175,0.20,14.40,12.00,
게르치류_게르치_육_삶은것_수입_평균,179,,22.20,8.40,80
게르치류_게르치_육_생것_부산_6월,158,0.00,20.80,7.50,
게르치류_반딧불게르치_전체_생것_동해EEZ_2월,104,0.00,19.56,2.32,
"넙치류_넙치(광어)_수컷,육_생것_거제_2월",138,0.00,22.83,4.46,
"넙치류_넙치(광어)_수컷,육_생것_거제_3월",136,0.00,22.33,4.45,
"넙치류_넙치(광어)_수컷,육_생것_거제_4월",139,0.00,21.69,5.02,
"넙치류_넙치(광어)_수컷,육_생것_거제_5월",138,0.28,21.75,4.79,
까나리_육_삶아서 말린것_수입_평균,218,1.50,43.10,6.10,2800
까나리_육_생것_진주_평균,114,0.30,16.00,4.80,
까나리_육_젓갈(액젓)_대표_평균,30,0.27,7.16,0.01,
까나리_육_젓갈(액젓)_수입_6월,36,0.20,7.80,0.20,
꺽저기_육_생것_부산_10월,92,0.10,19.50,1.00,
꼬막류_꼬막_육_구운것_여수_평균,153,6.23,21.38,3.93,
꼬막류_꼬막_육_말린것_여수_평균,441,60.16,18.44,12.35,
꼬막류_꼬막_육_생것_부산_5월,63,1.60,12.60,0.30,
꼬막류_꼬막_육_찐것_여수_평균,169,10.86,19.29,4.57,176
꼬막류_꼬막_전체_생것_율촌_평균,97,5.16,12.88,2.30,211
꼬막류_새꼬막_육_생것_대표_6월,84,3.10,14.14,1.28,
꼬막류_새꼬막_육_생것_대표_평균,82,2.87,12.29,1.11,419
꼬막류_새꼬막_육_생것_부산_5월,87,5.10,11.90,1.70,
꼬막류_새꼬막_육_생것_완도_3월,93,5.19,10.89,2.76,252
꼬막류_참꼬막_육_생것_완도_3월,88,3.76,14.23,1.34,
"꼬막류_피조개_양식,육_생것_대표_평균",92,3.00,11.80,2.20,292
꼬막류_피조개_육_구운것_여수_평균,179,8.91,24.69,4.07,
꼬막류_피조개_육_말린것_여수_평균,425,24.10,55.85,9.58,
넙치류_넙치(광어)_전체_조리예에 따라 조리한것_수입_평균,113,0.00,22.13,2.73,86
넙치류_킹넙치_알_생것_대표_평균,41,0.88,6.44,1.09,
노래미류_노래미_육_생것_수입_5월,89,0.80,17.50,1.30,
노래미류_줄노래미_육_생것_부산_4월,85,0.00,17.50,1.20,
노래미류_쥐노래미_육_생것_포항_6월,119,0.52,20.98,3.00,
놀래기류_놀래기_육_생것_부산_7월,107,0.00,19.20,2.80,
놀래기류_사당놀래기_육_생것_부산_4월,104,0.00,20.30,1.90,
놀래기류_용치놀래기_육_생것_여수_6월,85,0.44,19.26,0.20,
놀래기류_황놀래기_육_생것_부산_4월,98,0.10,18.90,1.90,
농어류_농어_육_구운것_대표_평균,138,0.00,23.63,2.56,87
"넙치류_넙치(광어)_수컷,육_생것_대표_10월",119,0.00,22.31,2.63,
"넙치류_넙치(광어)_수컷,육_생것_대표_11월",110,0.00,23.00,1.40,
"넙치류_넙치(광어)_수컷,육_생것_대표_7월",154,0.52,22.69,6.00,
"넙치류_넙치(광어)_수컷,육_생것_대표_8월",144,0.17,21.98,5.35,
"넙치류_넙치(광어)_수컷,육_생것_대표_9월",126,0.00,22.83,3.17,
넙치류_넙치(광어)_알_생것_대표_평균,33,0.79,4.91,1.00,
"넙치류_넙치(광어)_암컷,육_생것_거제_1월",133,0.00,22.97,3.86,
"넙치류_넙치(광어)_암컷,육_생것_거제_2월",119,0.00,22.29,2.69,
"넙치류_넙치(광어)_암컷,육_생것_거제_3월",128,0.54,22.34,3.37,
"넙치류_넙치(광어)_암컷,육_생것_거제_4월",125,0.50,21.42,3.51,
"넙치류_넙치(광어)_암컷,육_생것_거제_5월",112,0.00,21.08,2.40,
"넙치류_넙치(광어)_암컷,육_생것_대표_10월",152,0.00,21.94,6.36,
다랑어류_참다랑어_육_구운것_대표_평균,204,0.00,29.91,6.28,50
다랑어류_참다랑어_육_생것_대표_평균,196,0.00,23.99,8.09,62
다랑어류_참다랑어_육_생것_부산_2월,132,0.10,27.20,1.80,
다랑어류_참다랑어_전체_생것_수입_평균,155,,23.30,6.81,39
다랑어류_황다랑어_육_구운것_수입_평균,142,0.00,32.00,1.40,51
다랑어류_황다랑어_육_기름담금 통조림_수입_6월,163,1.30,18.80,8.30,
다랑어류_황다랑어_육_생것_부산_8월,114,0.20,23.90,1.30,
다랑어류_황다랑어_육_생것_수입_평균,104,0.00,23.40,1.00,37
다랑어류_황다랑어_육_찐것_수입_평균,124,0.00,27.80,1.20,37
다랑어류_황다랑어_전체_생것_수입_평균,108,,25.00,0.94,40
다슬기류_곳체다슬기_육_생것_경기_11월,78,5.70,11.60,0.60,
다슬기류_곳체다슬기_육_생것_대표_평균,79,4.00,11.60,0.60,
다슬기류_곳체다슬기_육_생것_문경_11월,78,4.00,11.60,0.60,
다슬기류_다슬기_육_생것_경기_11월,78,5.70,11.90,1.20,
다슬기류_다슬기_육_생것_대표_11월,80,1.85,13.24,1.73,
다슬기류_다슬기_육_생것_대표_평균,93,6.86,12.02,1.47,
농어류_농어_육_생것_대표_4월,92,0.00,19.42,1.09,
농어류_농어_육_생것_여수_4월,106,0.00,20.04,2.25,81
농어류_농어_육_생것_충무_평균,96,0.20,18.20,1.90,
농어류_벌레문치_육_생것_여수_4월,66,2.91,10.75,0.88,
농어류_벌레문치_육_생것_영덕_5월,88,0.70,15.80,2.00,
농어류_점농어_육_생것_여수_6월,129,0.40,18.50,5.20,
대구류_대구_육_젓갈_대표_평균,69,0.00,14.70,0.40,2562
대구류_대구_육_조미하여 말린것_수입_6월,305,14.60,54.20,2.10,
대구류_대구_육_찐것_수입_평균,84,0.00,18.60,0.90,100
달강어_육_생것_포항_6월,121,0.14,19.70,4.00,
달고기류_달고기_알_생것_부산_5월,115,0.20,23.40,1.60,
달고기류_달고기_육_생것_대표_4월,86,0.00,19.38,0.50,74
달고기류_달고기_육_생것_대표_5월,84,0.00,19.23,0.33,
달고기류_달고기_육_생것_대표_8월,92,0.00,20.19,0.72,
달고기류_달고기_육_생것_부산_5월,97,0.70,19.10,1.40,
달고기류_달고기_육_생것_여수_4월,82,0.03,18.88,0.28,
달고기류_민달고기_육_생것_부산_3월,95,0.10,20.30,1.00,
달고기류_민달고기_육_생것_여수_4월,90,0.15,18.10,1.42,91
대구류_대구_간_조린것_수입_평균,100,0.00,21.80,1.50,103
대구류_대구_내장_생것_대표_평균,94,0.10,15.00,2.30,194
대구류_대구_머리_말린것_수입_평균,255,0.00,59.40,2.00,1300
"대구류_대구_수컷,육_생것_대표_평균",90,0.00,18.20,0.43,97
"대구류_대구_수컷,육_생것_부산_1월",83,0.40,18.20,0.40,
"대구류_대구_수컷,육_생것_포항_12월",84,0.00,18.59,0.63,84
대구류_대구_알_삶은것_수입_평균,142,0.00,31.00,2.00,610
대구류_대구_알_생것_대표_평균,117,2.34,21.35,1.85,87
"대구류_대구_암컷,육_생것_대표_평균",75,0.00,15.42,0.32,112
"대구류_대구_암컷,육_생것_부산_1월",69,0.30,15.40,0.30,
돔류_백미돔_육_생것_부산_6월,102,0.40,21.00,1.20,
돔류_범돔_육_생것_부산_3월,94,0.40,19.50,1.10,
돔류_벵에돔_육_생것_부산_7월,98,0.00,20.20,1.40,
돔류_뿔돔_육_생것_부산_6월,97,0.00,18.00,2.20,
돔류_샛돔_육_생것_대표_8월,106,0.00,20.48,2.11,
돔류_샛돔_육_생것_부산_5월,121,0.20,16.30,5.50,
돔류_샛돔_육_생것_여수_4월,117,0.41,18.52,3.91,95
돔류_샛돔_육_찐것_남해_4월,173,0.06,25.60,6.83,90
돔류_샛돔_육_찐것_남해_평균,132,0.00,29.41,0.87,
돔류_실꼬리돔_육_생것_부산_3월,107,0.10,19.80,2.50,
돔류_실붉돔_육_생것_대표_평균,112,0.00,17.80,2.70,
돔류_어름돔_육_생것_부산_3월,94,0.00,19.50,1.20,
덕대_육_말린것_대표_5월,389,1.05,85.44,2.52,
덕대_육_삶은것_대표_5월,141,12.08,10.67,4.97,
덕대_육_생것_대표_2월,74,0.00,14.60,1.31,
덕대_육_생것_대표_4월,88,0.00,17.58,1.50,
덕대_육_생것_대표_5월,119,0.03,19.04,4.04,
덕대_육_생것_대표_9월,145,0.00,17.30,7.62,
덕대_육_생것_동해EEZ_2월,82,0.00,15.10,1.97,
덕대_육_생것_여수_4월,119,0.00,17.11,5.00,
도다리류_강도다리_육_생것_대표_평균,118,0.02,17.88,4.50,49
도다리류_도다리_육_생것_대표_4월,86,0.00,19.52,0.36,67
먹장어_육_생것_부산_5월,129,0.40,16.90,6.00,
멍게(우렁쉥이)_육_생것_수입_5월,64,2.50,8.40,1.90,
멍게류_끈멍게_육_생것_부산_5월,66,5.00,7.40,1.50,
"멍게류_멍게(우렁쉥이)_양식,육_생것_대표_10월",30,1.11,4.94,0.46,430
"멍게류_멍게(우렁쉥이)_양식,육_생것_대표_평균",81,4.90,8.70,2.10,1300
멍게류_멍게(우렁쉥이)_육_생것_대표_6월,56,4.31,6.23,1.24,
멍게류_멍게(우렁쉥이)_육_생것_대표_평균,44,1.60,6.70,0.60,
멍게류_멍게(우렁쉥이)_육_생것_부산_5월,52,2.06,7.54,1.25,
멍게류_멍게(우렁쉥이)_육_생것_부산_6월,88,8.27,8.24,2.05,
멍게류_멍게(우렁쉥이)_육_생것_통영_3월,41,1.77,6.00,0.87,
멍게류_멍게(우렁쉥이)_육_생것_통영_4월,55,5.81,5.53,0.86,561
