식품명,에너지(kcal),탄수화물(g),단백질(g),지방(g),나트륨(mg)
고등어류_고등어_육_반정도 말린것_수입_평균,336,0.20,18.70,28.50,680
고등어류_고등어_육_삶은것_수입_평균,281,0.30,22.60,22.60,94
고등어류_고등어_육_생것_대표_10월,140,0.38,21.90,4.90,62
고등어류_고등어_육_생것_대표_6월,159,0.00,23.57,6.36,
고등어류_고등어_육_생것_대표_8월,121,0.00,23.06,2.47,
고등어류_고등어_육_생것_부산_3월,139,0.00,20.30,5.70,
고등어류_고등어_육_생것_부산_5월,146,0.30,22.00,5.50,
고등어류_고등어_육_생것_부산_7월,175,0.00,20.60,9.40,
고등어류_고등어_육_생것_부산_9월,246,0.00,18.70,17.80,
고등어류_고등어_육_생것_부산_평균,183,0.00,20.20,10.40,
고등어류_고등어_육_생것_수입_평균,242,4.79,17.00,16.03,221
고등어류_고등어_육_생것_제주_10월,140,0.38,21.90,4.90,62
고등어류_고등어_육_생것_제주_평균,268,0.00,20.11,19.43,
고등어류_고등어_육_소금에 절여 말린것_대표_평균,171,0.60,21.30,8.30,
고등어류_고등어_육_소금에 절여 저장한것_대표_평균,172,0.10,26.90,6.20,
고등어류_고등어_육_소금에 절여 저장한것_포항_평균,184,0.01,21.56,9.86,461
고등어류_고등어_육_소금에 절인것_대표_평균,286,6.36,18.99,16.14,340
취나물_미역취_삶아서 말린것을 삶은것,39,7.74,2.34,0.71,12
치커리_적치콘_생것,13,2.52,1.26,0.14,3
파_쪽파_삶은것,31,7.27,1.71,0.17,2
큰느타리버섯(새송이버섯)_구운것(팬),28,9.26,3.94,0.37,3
팽이버섯_구운것(팬),29,9.22,3.39,0.77,4
표고버섯_전체_구운것(팬),25,7.56,3.12,0.78,2
기름종개류_미꾸라지_육_생것_진안_평균,144,0.35,17.08,7.44,
기름종개류_미꾸라지_전체_생것_진안_평균,138,0.00,15.88,7.54,91
기름종개류_미꾸리_육_삶은것_대표_평균,84,0.00,17.10,1.20,100
기름종개류_미꾸리_육_생것_금산_평균,146,0.00,18.44,7.24,
기름종개류_미꾸리_육_생것_대전_평균,96,0.20,16.20,2.80,
기름종개류_미꾸리_전체_생것_진안_평균,115,0.52,14.73,5.34,34
김류_김_전체_말린것_여수_평균,173,36.17,45.94,0.37,
김류_김_전체_생것_여수_평균,20,4.05,5.01,0.18,
김류_김밥용김_전체_말린것_대표_평균,202,46.19,38.46,2.82,903
김류_돌김(둥근돌김)_전체_말린것_대표_평균,168,44.60,35.50,1.70,
김류_모무늬돌김_전체_말린것_해남_2월,345,46.08,36.08,0.38,
김류_모무늬돌김_전체_생것_해남_2월,45,5.30,5.09,0.14,
